X,Y,objectid,reg_no,part,act,year,section,sdesc,desc_,feat_num,test,keyval,tpo_ref,tree_ref,amended
430700.991,392170.607999999,69853,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T1,6211,1,A1010,808/263,T1,
430702.496,392175.125,69854,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T2,6211,1,A1011,808/263,T2,
430704.871,392182.171,69855,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T3,6211,1,A1012,808/263,T3,
430707.404,392189.506999999,69856,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T4,6211,1,A1013,808/263,T4,
430714.635,392215.83,69857,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T5,6211,1,A1014,808/263,T5,
430716.945,392221.681,69858,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T6,6211,1,A1015,808/263,T6,
430719.539,392228.095000001,69859,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T7,6211,1,A1016,808/263,T7,
430722.728,392234.397,69860,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T8,6211,1,A1017,808/263,T8,
430727.101,392245.569,69861,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T9,6211,1,A1018,808/263,T9,
430729.518,392251.989,69862,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T10,6211,1,A1019,808/263,T10,
430732.601,392259.222999999,69863,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T11,6211,1,A1020,808/263,T11,
430735.135,392265.491,69864,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T12,6211,1,A1021,808/263,T12,
430736.623,392270.491,69865,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T13,6211,1,A1022,808/263,T13,
430745.322,392288.217,69866,8994,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/263        : T14,6211,1,A1023,808/263,T14,
433788.67,385446.75,69867,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          : T1,6211,1,A1024,808/58,T1,
433798.534,385456.151000001,69868,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1025,808/58,,
433773.514,385481.015000001,69869,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1026,808/58,,
433815.565,385467.584000001,69870,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1027,808/58,,
433816.478,385468.804,69871,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1028,808/58,,
433820.045,385471.891000001,69872,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1029,808/58,,
433829.99,385479.051000001,69873,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1030,808/58,,
433849.105,385492.071,69874,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1031,808/58,,
433849.478,385488.301999999,69875,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1032,808/58,,
433849.941,385478.759,69876,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1033,808/58,,
433849.157,385470.467,69877,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1034,808/58,,
433847.043,385457.23,69878,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1035,808/58,,
433847.043,385441.436000001,69879,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1036,808/58,,
433843.372,385442.338,69880,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1037,808/58,,
433838.701,385455.908,69881,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1038,808/58,,
