objectid,site_no,positive_m,designatio,site_name,mastersite,globalid,created_user,created_date,last_edited_user,last_edited_date,st_areashape,st_perimetershape
29,4,y,LWS,Redmires Conduit, ,{AF369CA1-EE05-442E-A685-C57B3FE8C52F},,,,,14932.4673119816,4539.79710632083
30,271,y,LWS,Mosborough Moor Ancient Strip Fields, ,{D413CF26-4C7A-4C89-A054-CA13244E25DE},,,,,142469.897247734,4279.60237874546
31,265,n,LWS,High Lane Reservoir, ,{D91EDC01-FBB7-4536-B032-20A856AF83EA},,,,,5966.38389291465,321.215465126114
32,151,n,LWS,Oldhay Brook/Blacka Dyke/Redcar Brook, ,{2CC145E1-D559-4FCC-88AA-275470D66BAA},,,,,340629.687774389,14248.5477147028
33,70,y,LWS,"Little Wood, Totely", ,{D2F021F6-E4F9-4C81-9C10-705BBD861BFF},,,,,8526.54975816458,591.924840863259
34,69,n,LWS,Totely Moor, ,{EE815877-9FBC-4585-88F5-F6E67316F3DC},,,,,488634.450950504,10051.4304023852
35,114,y,LWS,Whitely Woods, ,{42B116E3-A02B-4AE9-917F-291ECE119C3F},,,,,346926.816961538,8364.12822143397
36,54,n,LWS,Midhope Reservoir, ,{30D1EE55-8170-4AFC-8CB5-D51E752AB5C1},,,,,652628.878964295,4803.68339398522
37,41,n,LWS,Hunshelf Bank, ,{D25B6090-E352-445F-A13E-3A9CAADA400C},,,,,287468.840477186,5687.04115808339
38,250,n,LWS,Handsworth Tip, ,{0BF397BE-CF6B-433B-B01F-CC45336C09CD},,,,,58902.0085170632,1414.59423505815
39,251,n,LWS,Waverley Pond, ,{B81DAEFC-D881-4672-AE59-8810F359C40B},,,,,6784.28638996135,502.370543094709
40,60,n,LWS,Bent Hills, ,{7491CD20-D0F6-449A-AD96-CB22AA36AEE2},,,,,287774.221260129,5395.27877146408
41,38,y,LWS,More Hall Reservoir,Ewden Valley,{7593D15F-E6CA-4818-9B38-0DF94793C61E},,,,,617380.872950598,5367.96742215633
42,68,n,LWS,Usher Wood, ,{8DA67FCA-7A8D-42CC-B870-07FACF8C1524},,,,,71641.1671182752,2730.10128428024
43,190,n,LWS,Smithy Wood, ,{547E51B8-093D-400C-9C43-0F94CFEE8731},,,,,224065.029973224,2731.40311757973
