objectid,site_name,alias_name,site_type,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_Length,shape_Area
346,Addlington Road Community Centre,,N/A,{974AD918-FCCF-4B5F-8C42-FBAF7CBE4E80},,,,,240.572187689404,2465.71302968682
347,Brushes Allotment,,Allotments,{D0D5A6F1-8BA3-4CD9-8F56-1374D8C749E7},,,,,443.267792221057,8381.83362094475
348,Bagley Dike,,Natural/Semi_Natural Greenspace/Woodland,{60B8FBAE-B4A4-49D8-8225-88C8EA3E1975},,,,,1458.70147198252,39051.6337280455
349,Ecclesfield Road Open Space,,Open Space,{D170E93D-F40A-4C7C-BA3D-4CB6BF52FA74},,,,,1781.20289733337,77821.8464997269
350,Roe Wood, ,Woodland,{3267BF7C-E6BE-4C9F-8130-4E3EF48EF6AA},,,,,1713.75809071519,101218.809765977
351,Norton Cemetery,,Active Cemetary,{15ED63BF-7D42-452D-871C-6B52127D9AB9},,,,,863.247197955949,23772.9073821686
352,Lichford Road,,Open Space,{0E3B8671-F082-4D90-AC69-E912050D94A6},,,,,482.618418878739,10490.5934216915
353,East Bank Road Open Space,,Open Space,{D984B07B-4511-4B90-B751-968CB5C55186},,,,,744.256140275216,11205.3035318238
354,Kenninghall Area & Black Bank,,Open Space,{CA7F4749-7360-495B-A242-D48EDD07F09C},,,,,1082.49988065584,30230.8857147933
355,Black Bank Open Space,,Open Space,{3CEB0784-9FE8-43A4-B93B-3229BCD74281},,,,,1222.81423500085,47977.128461629
356,Park Grange Road Open Space,,Open Space,{14E99DF0-E35B-4C03-95B0-44FF3C199D17},,,,,343.942085892096,4966.70127812935
357,Guildford Avenue Open Space,,Open Space,{A5465FF3-9A46-4CFB-BC8E-F4889708C456},,,,,207.419553833673,915.286782112832
358,Craddock Road Depot,,Depot,{6E0336AF-2ED3-476E-BB65-7FC9B76D1E4B},,,,,136.787078985008,1041.43658188601
359,Norfolk Heritage Park,,Park,{84B450D3-DA85-493D-A5F5-B44DB6EFFFC5},,,,,3439.60532415716,295153.108087728
360,Chancet Wood,,Woodland,{B7892E73-E90E-4278-AC7E-52474E52D58C},,,,,3077.12616860293,115715.016307841
361,Beauchief Nursery,,Open Space,{B5160A82-48B8-4662-A88C-882520A65424},,,,,838.263540684651,43779.4989739899
362,Bradway Recreation Ground,,Playing Field,{AC32CFE1-98F3-4706-9251-F40F1CB1136C},,,,,968.894379476456,28498.0664896513
363,Greenhill Park,,Park,{427CFE03-07F7-4547-BB92-AB16721429B2},,,,,2543.2510755719,120705.798579187
364,Meersbrook Park Walled Garden, ,Garden,{E7634694-8595-44A0-85C4-11FCCEE5BAF2},,,,,274.898895467229,4830.39913907282
365,Raeburn Place/Herdings Youth Club,Herdings Youth Club,Natural/Semi_Natural Green Space,{C9C0B3C7-4AAF-47F0-B4FB-AFF0DBE38A63},,,,,237.972741221202,2234.1749136993
366,Edgefield Road Allotments,,Allotments,{ED56AF0F-A1E5-4515-86A7-3C993E63FD8C},,,,,290.052877696592,2937.06110313748
367,The Lumb, ,Woodland,{42D13C73-716E-4C25-804A-724D84922483},,,,,1145.81352775163,28527.1261863969
368,Rollestone Wood, ,Woodland,{AD211BE4-0234-4C9A-94AB-8B58C2CFB50E},,,,,3802.88291567365,170591.136226499
369,Cat Lane Wood Pasture,,Natural/Semi_Natural Green Space,{6528DB0C-F3A8-4ABC-8130-62A1DF1B18C2},,,,,466.521313608715,5538.52714386539
370,Blackstock Playing Fields,,Open Space,{0C3AF09C-63E4-49FC-AC56-A421AFE3D367},,,,,1413.71976491542,87307.6269948807
371,Coneygree Wood Scrub Area,Coneygree Wood Scrub ,Natural/Semi_Natural Green Space,{6FE55222-A805-4245-8580-84E97BBB242A},,,,,737.416411062228,13323.9747833586
372,Barbers Field,Fraser Drive Open Space,Open Space,{E6DE44BF-46E2-4749-A88F-DFBA88B46775},,,,,946.27776407425,26513.5080941814
373,Bowman Drive Recreation Ground,,Park,{952D506F-D395-4A60-A9F2-CA67B662B070},,,,,1184.44621684728,51256.9689146464
374,Carterhall Recreation Ground,Charnock Recreation Ground,Park,{25E789A4-1852-4783-B336-ED7E60DBC17D},,,,,978.770345449616,39297.5656018701
