objectid,routecode,status_text,globalid
35149,BRA/PERMBW/5,Permissive Bridleway,{9C4827B6-AEB8-4088-86EF-87754369F91A}
35150,SHE/692,Footpath,{C7C4043A-FBD4-48BF-80C3-BD8CA5E6EEE1}
35151,SHE/PERMBW/16,Permissive Bridleway,{6B044BBF-AD87-490D-93C9-FBA693E95C7D}
35551,STO/FP/80,Footpath,{CA5280D3-E19E-4A64-AAB1-4AC6A6AD4FF5}
35952,STO/PERMBW/6,Permissive Bridleway,{7B72B334-FBA6-4C2B-BED4-CE9ED41D3934}
36752,Bra/PermBW/6,Permissive Bridleway,{FAE162C1-54D0-45CA-A9BE-2BE0F85EEE63}
36753,Bra/PermBW/7,Permissive Bridleway,{341AE912-1811-40EC-B8D7-4182923F011E}
37152,ECC/173,Bridleway,{659A8269-3C56-47B4-981B-F5DF1B89CECC}
37154,ECC/PERMBW/6,Permissive Bridleway,{28D9FFFD-720C-4171-B20F-CDBBB07CF3E1}
37155,STO/PERMBW/10,Permissive Bridleway,{8064D7D4-6A30-4996-8174-8F8FD8EF1DD8}
37156,STO/1B,Footpath,{38C12CA4-EEAE-480F-8550-31AE98DD4920}
37157,STO/86,Bridleway,{EDE2CF77-94DD-4220-A34C-C22A45590D64}
37158,SHE/649,Footpath,{9142860C-053B-4075-B99E-297A9F2F5DC8}
38358,SHE/PERMFP/17,Permissive Footpath,{4AEF0229-35CF-4D14-A2E5-C55637AEF51C}
39158,SHE/693,Footpath,{832AB8D2-C480-4FD9-B46C-40EDB6C236F2}
39559,She/PermBW/18,Permissive Bridleway,{9DBA557D-AD15-4EDA-AEA1-56BF1BF0128A}
39561,BRA/223,Footpath,{4603C84B-CA9D-404C-A7B4-3D20F1585CF8}
39563,BRA/223a,Footpath,{F8F9E665-A4EC-4227-AE1C-C1E1DE97EEDD}
39961,SHE/687a,Footpath,{ECD944E4-58CB-4B57-9D35-935E2BE61312}
39963,SHE/687b,Footpath,{78B6E208-886C-4222-A735-9F26DA3982A4}
40360,SHE/151,Byways open to all traffic,{83A0812A-5389-48C3-B896-479726895716}
40362,SHE/151,Byways open to all traffic,{34C851ED-D9D7-4744-96B3-C1097F1B1DDE}
40760,SHE/388B,Footpath,{568AF250-229D-4FD5-B180-5C4C8BB769C5}
40762,SHE/388B,Footpath,{29661FAC-419D-473F-B196-58B3A11EA693}
40764,SHE/388B,Footpath,{8E3B56D4-3BAE-4022-95FF-A0EAD32D1029}
41960,STO/84,Bridleway,{CB5166CD-F1A4-481E-B37C-A2378A7EEB0A}
42363,STO/20,Footpath,{570DBDD1-0A6A-4D23-BB1D-E807268B96CD}
42365,STO/20A,Footpath,{624CCAA9-B46D-4A71-8A83-5BD64B7AED29}
43160,SHE/392A,Footpath,{16D4E37E-B0C2-4D19-9D1A-41D7B8371562}
43161,SHE/392A,Footpath,{B85071B1-0493-4CFB-840B-54E1CE7FC175}
43562,STO/18,Footpath,{2EB35D63-2CCE-429F-A3D9-998E2FEF7837}
44760,SHE/210A,Footpath,{57F3D590-33C3-4D42-A378-B19A8DC63BD2}
44766,SHE/PERMFP/4,Permissive Footpath,{77F315B1-20CC-414A-9B73-EB4589B3AA46}
44767,SHE/PERMFP/4,Permissive Footpath,{1A7338F5-E14F-47C6-8F48-DF8171E7614C}
44768,SHE/210A,Footpath,{A702DCED-2F89-4554-8255-0A035D593B25}
45161,SHE/674,Bridleway,{77656BD8-C6AA-4982-A5A8-8063FF794CA5}
45562,SHE/674,Bridleway,{9A0E9542-5E15-4B27-9206-8A73D6EAA978}
45563,SHE/674,Bridleway,{3A67461C-57B2-4CE4-984E-8ABCA2D62FE7}
